Symbol,itemname
A000020,동화약품
A000030,우리은행
A000040,KR모터스
A000050,경방
A000060,메리츠화재
A000070,삼양홀딩스
A000080,하이트진로
A000100,유한양행
A000120,CJ대한통운
A000140,하이트진로홀딩스
A000150,두산
A000180,성창기업지주
A000210,대림산업
A000220,유유제약
A000230,일동홀딩스
A000240,한국테크놀로지그룹
A000250,삼천당제약
A000270,기아차
A000300,대유플러스
A000320,노루홀딩스
A000370,한화손해보험
A000390,삼화페인트
A000400,롯데손해보험
A000430,대원강업
A000440,중앙에너비스
A000480,조선내화
A000490,대동공업
A000500,가온전선
A000520,삼일제약
A000540,흥국화재
A000590,CS홀딩스
A000640,동아쏘시오홀딩스
A000650,천일고속
A000660,SK하이닉스
A000670,영풍
A000680,LS네트웍스
A000700,유수홀딩스
A000720,현대건설
A000760,이화산업
A000810,삼성화재
A000850,화천기공
A000860,강남제비스코
A000880,한화
A000890,보해양조
A000910,유니온
A000950,전방
A000970,한국주철관
A000990,DB하이텍
A001000,신라섬유
A001020,페이퍼코리아
A001040,CJ
A001060,JW중외제약
A001070,대한방직
A001080,만호제강
A001120,LG상사
A001130,대한제분
A001140,국보
A001200,유진투자증권
A001210,금호전기
A001230,동국제강
A001250,GS글로벌
A001260,남광토건
A001270,부국증권
A001290,상상인증권
A001340,백광산업
A001360,삼성제약
A001380,SG충방
A001390,KG케미칼
A001420,태원물산
A001430,세아베스틸
A001440,대한전선
A001450,현대해상
A001460,BYC
A001470,삼부토건
A001500,현대차증권
A001510,SK증권
A001520,동양
A001530,DI동일
A001540,안국약품
A001550,조비
A001560,제일연마
A001570,금양
A001620,케이비아이동국실업
A001630,종근당홀딩스
A001680,대상
A001720,신영증권
A001740,SK네트웍스
A001750,한양증권
A001770,신화실업
A001780,알루코
A001790,대한제당
A001800,오리온홀딩스
A001810,무림SP
A001820,삼화콘덴서
A001840,이화공영
A001880,대림건설
A001940,KISCO홀딩스
A002000,한국유리
A002020,코오롱
A002030,아세아
A002070,비비안
A002100,경농
A002140,고려산업
A002150,도화엔지니어링
A002170,삼양통상
A002200,한국수출포장
A002210,동성제약
A002220,한일철강
A002230,피에스텍
A002240,고려제강
A002250,알보젠코리아
A002270,롯데푸드
A002290,삼일기업공사
A002300,한국제지
A002310,아세아제지
A002320,한진
A002350,넥센타이어
A002360,SH에너지화학
A002380,KCC
A002390,한독
A002410,범양건영
A002420,세기상사
A002450,삼익악기
A002460,화성산업
A002600,조흥
A002620,제일파마홀딩스
A002630,오리엔트바이오
A002680,한탑
A002690,동일제강
A002700,신일전자
A002710,TCC스틸
A002720,국제약품
A002760,보락
A002780,진흥기업
A002790,아모레G
A002800,신신제약
A002810,삼영무역
A002820,선창산업
A002840,미원상사
A002870,신풍제지
A002880,대유에이텍
A002900,동양물산
A002920,유성기업
A002960,한국쉘석유
A002990,금호산업
A003000,부광약품
A003010,혜인
A003030,세아제강지주
A003060,에이프로젠제약
A003070,코오롱글로벌
A003080,성보화학
A003090,대웅
A003100,선광
A003120,일성신약
A003160,디아이
A003200,일신방직
A003220,대원제약
A003230,삼양식품
A003240,태광산업
A003280,흥아해운
A003300,한일홀딩스
A003310,대주산업
A003350,한국화장품제조
A003380,하림지주
A003410,쌍용양회
A003460,유화증권
A003470,유안타증권
A003480,한진중공업홀딩스
A003490,대한항공
A003520,영진약품
A003530,한화투자증권
A003540,대신증권
A003550,LG
A003560,IHQ
A003570,S&T중공업
A003580,넥스트사이언스
A003610,방림
A003620,쌍용차
A003650,미창석유
A003670,포스코케미칼
A003680,한성기업
A003690,코리안리
A003720,삼영화학
A003780,진양산업
A003800,에이스침대
A003830,대한화섬
A003850,보령제약
A003920,남양유업
A003960,사조대림
A004000,롯데정밀화학
A004020,현대제철
A004060,SG세계물산
A004080,신흥
A004090,한국석유
A004100,태양금속
A004130,대덕GDS
A004140,동방
A004150,한솔홀딩스
A004170,신세계
A004200,고려개발
A004250,NPC
A004270,남성
A004310,현대약품
A004360,세방
A004370,농심
A004380,삼익THK
A004410,서울식품
A004430,송원산업
A004440,대림씨엔에스
A004450,삼화왕관
A004490,세방전지
A004540,깨끗한나라
A004560,현대비앤지스틸
A004590,한국가구
A004650,창해에탄올
A004690,삼천리
A004700,조광피혁
A004710,한솔테크닉스
A004720,우리들제약
A004770,써니전자
A004780,대륙제관
A004800,효성
A004830,덕성
A004840,DRB동일
A004870,티웨이홀딩스
A004890,동일산업
A004910,조광페인트
A004920,씨아이테크
A004960,한신공영
A004970,신라교역
A004980,성신양회
A004990,롯데지주
A005010,휴스틸
A005030,부산주공
A005070,코스모신소재
A005090,삼광글라스
A005110,한창
A005160,동국산업
A005180,빙그레
A005190,동성화학
A005250,녹십자홀딩스
A005290,동진쎄미켐
A005300,롯데칠성
A005320,국동
A005360,모나미
A005380,현대차
A005390,신성통상
A005420,코스모화학
A005430,한국공항
A005440,현대그린푸드
A005450,신한
A005490,POSCO
A005500,삼진제약
A005610,SPC삼립
A005670,푸드웰
A005680,삼영전자
A005690,파미셀
A005710,대원산업
A005720,넥센
A005740,크라운해태홀딩스
A005750,대림B&Co
A005800,신영와코루
A005810,풍산홀딩스
A005820,원림
A005830,DB손해보험
A005850,에스엘
A005860,한일사료
A005870,휴니드
A005880,대한해운
A005930,삼성전자
A005940,NH투자증권
A005950,이수화학
A005960,동부건설
A005980,성지건설
A005990,매일홀딩스
A006040,동원산업
A006050,국영지앤엠
A006060,화승인더
A006090,사조오양
A006110,삼아알미늄
A006120,SK디스커버리
A006140,피제이전자
A006200,한국전자홀딩스
A006220,제주은행
A006260,LS
A006280,녹십자
A006340,대원전선
A006360,GS건설
A006370,대구백화점
A006380,카프로
A006390,한일현대시멘트
A006400,삼성SDI
A006490,인스코비
A006570,대림통상
A006580,대양제지
A006620,동구바이오제약
A006650,대한유화
A006660,삼성공조
A006730,서부T&D
A006740,영풍제지
A006800,미래에셋대우
A006840,AK홀딩스
A006880,신송홀딩스
A006890,태경케미컬
A006910,보성파워텍
A006920,모헨즈
A006980,우성사료
A007070,GS리테일
A007110,일신석재
A007120,미래아이앤지
A007160,사조산업
A007210,벽산
A007280,한국특수형강
A007310,오뚜기
A007330,푸른저축은행
A007340,디티알오토모티브
A007370,진양제약
A007390,네이처셀
A007460,에이프로젠 KIC
A007530,영신금속
A007540,샘표
A007570,일양약품
A007590,동방아그로
A007610,선도전기
A007630,폴루스바이오팜
A007660,이수페타시스
A007680,대원
A007690,국도화학
A007700,F&F
A007720,대명소노시즌
A007770,한일화학
A007810,코리아써키트
A007820,에스엠코어
A007860,서연
A007980,태평양물산
A008040,사조동아원
A008060,대덕
A008110,대동전자
A008250,이건산업
A008260,NI스틸
A008290,원풍물산
A008350,남선알미늄
A008370,원풍
A008420,문배철강
A008470,부스타
A008490,서흥
A008500,일정실업
A008560,메리츠증권
A008600,윌비스
A008700,아남전자
A008730,율촌화학
A008770,호텔신라
A008800,행남사
A008830,대동기어
A008870,금비
A008930,한미사이언스
A008970,동양철관
A009070,KCTC
A009140,경인전자
A009150,삼성전기
A009160,SIMPAC
A009180,한솔로지스틱스
A009190,대양금속
A009200,무림페이퍼
A009240,한샘
A009270,신원
A009290,광동제약
A009300,삼아제약
A009310,참엔지니어링
A009320,대우부품
A009410,태영건설
A009420,한올바이오파마
A009440,KC그린홀딩스
A009450,경동나비엔
A009460,한창제지
A009470,삼화전기
A009520,포스코엠텍
A009540,한국조선해양
A009580,무림P&P
A009620,삼보산업
A009680,모토닉
A009730,코센
A009770,삼정펄프
A009780,엠에스씨
A009810,엔케이물산
A009830,한화솔루션
A009970,영원무역홀딩스
A010040,한국내화
A010050,우리종금
A010060,OCI
A010100,한국프랜지
A010120,LS ELECTRIC
A010130,고려아연
A010140,삼성중공업
A010170,대한광통신
A010240,흥국
A010280,쌍용정보통신
A010400,우진아이엔에스
A010420,한솔PNS
A010470,오리콤
A010580,지코
A010600,웰바이오텍
A010620,현대미포조선
A010640,진양폴리
A010660,화천기계
A010690,화신
A010770,평화홀딩스
A010780,아이에스동서
A010820,퍼스텍
A010950,S-Oil
A010960,삼호개발
A011000,진원생명과학
A011040,경동제약
A011070,LG이노텍
A011080,형지I&C
A011090,에넥스
A011150,CJ씨푸드
A011160,두산건설
A011170,롯데케미칼
A011200,HMM
A011210,현대위아
A011230,삼화전자
A011280,태림포장
A011300,성안
A011320,유니크
A011330,유니켐
A011370,서한
A011390,부산산업
A011420,갤럭시아에스엠
A011500,한농화성
A011560,세보엠이씨
A011690,유양디앤유
A011700,한신기계
A011760,현대상사
A011780,금호석유
A011790,SKC
A011810,STX
A011930,신성이엔지
A012030,DB
A012160,영흥
A012170,키위미디어그룹
A012200,계양전기
A012280,영화금속
A012320,경동인베스트
A012330,현대모비스
A012340,뉴인텍
A012450,한화에어로스페이스
A012510,더존비즈온
A012600,청호컴넷
A012610,경인양행
A012620,원일특강
A012630,HDC
A012690,모나리자
A012700,리드코프
A012750,에스원
A012790,신일제약
A012800,대창
A012860,모베이스전자
A013000,세우글로벌
A013030,하이록코리아
A013120,동원개발
A013310,아진산업
A013360,일성건설
A013520,화승알앤에이
A013570,디와이
A013580,계룡건설
A013700,까뮤이앤씨
A013720,청보산업
A013810,스페코
A013870,지엠비코리아
A013890,지누스
A013990,아가방컴퍼니
A014100,메디앙스
A014130,한익스프레스
A014160,대영포장
A014190,원익큐브
A014200,광림
A014280,금강공업
A014440,영보화학
A014470,부방
A014530,극동유화
A014570,고려제약
A014580,태경비케이
A014620,성광벤드
A014680,한솔케미칼
A014710,사조씨푸드
A014790,한라
A014820,동원시스템즈
A014830,유니드
A014910,성문전자
A014940,오리엔탈정공
A014970,삼륭물산
A014990,인디에프
A015020,이스타코
A015230,대창단조
A015260,에이엔피
A015350,부산가스
A015360,예스코홀딩스
A015540,쎌마테라퓨틱스
A015590,큐로
A015710,코콤
A015750,성우하이텍
A015760,한국전력
A015860,일진홀딩스
A015890,태경산업
A016090,대현
A016100,리더스코스메틱
A016170,카카오M
A016250,이테크건설
A016360,삼성증권
A016380,KG동부제철
A016450,한세예스24홀딩스
A016580,환인제약
A016590,신대양제지
A016600,큐캐피탈
A016610,DB금융투자
A016670,포비스티앤씨
A016710,대성홀딩스
A016740,두올
A016790,현대사료
A016800,퍼시스
A016880,웅진
A016920,카스
A017000,신원종합개발
A017040,광명전기
A017180,명문제약
A017250,인터엠
A017370,우신시스템
A017390,서울가스
A017480,삼현철강
A017510,세명전기
A017550,수산중공업
A017650,대림제지
A017670,SK텔레콤
A017680,데코앤이
A017800,현대엘리베이
A017810,풀무원
A017890,한국알콜
A017900,광전자
A017940,E1
A017960,한국카본
A018000,유니슨
A018120,진로발효
A018250,애경산업
A018260,삼성에스디에스
A018290,브이티지엠피
A018310,삼목에스폼
A018470,조일알미늄
A018500,동원금속
A018620,우진비앤지
A018670,SK가스
A018680,서울제약
A018700,바른손
A018880,한온시스템
A019010,베뉴지
A019170,신풍제약
A019180,티에이치엔
A019210,와이지-원
A019440,세아특수강
A019490,하이트론
A019540,일지테크
A019550,SBI인베스트먼트
A019570,리더스 기술투자
A019590,엠벤처투자
A019660,글로본
A019680,대교
A019770,서연탑메탈
A019990,에너토크
A020000,한섬
A020120,키다리스튜디오
A020150,일진머티리얼즈
A020180,대신정보통신
A020400,대동금속
A020560,아시아나항공
A020710,시공테크
A020760,일진디스플
A021040,대호피앤씨
A021050,서원
A021080,에이티넘인베스트
A021240,코웨이
A021320,KCC건설
A021650,한국큐빅
A021820,세원정공
A021880,메이슨캐피탈
A022100,포스코 ICT
A022220,정산애강
A023000,삼원강재
A023150,MH에탄올
A023160,태광
A023350,한국종합기술
A023410,유진기업
A023440,제일제강
A023450,동남합성
A023460,CNH
A023530,롯데쇼핑
A023590,다우기술
A023600,삼보판지
A023760,한국캐피탈
A023770,플레이위드
A023790,동일철강
A023800,인지컨트롤스
A023810,인팩
A023890,한국아트라스비엑스
A023900,풍국주정
A023910,대한약품
A023960,에쓰씨엔지니어링
A024060,흥구석유
A024070,WISCOM
A024090,디씨엠
A024110,기업은행
A024120,KB오토시스
A024660,하림홀딩스
A024720,한국콜마홀딩스
A024740,한일단조
A024800,유성티엔에스
A024810,이화전기
A024830,세원물산
A024840,KBI메탈
A024850,피에스엠씨
A024880,케이피에프
A024890,대원화성
A024900,덕양산업
A024910,경창산업
A024940,PN풍년
A024950,삼천리자전거
A025000,KPX케미칼
A025320,시노펙스
A025440,대성엘텍
A025530,SJM홀딩스
A025540,한국단자
A025550,한국선재
A025560,미래산업
A025620,제이준코스메틱
A025750,한솔홈데코
A025770,한국정보통신
A025820,이구산업
A025860,남해화학
A025870,신라에스지
A025880,케이씨피드
A025890,한국주강
A025900,동화기업
A025950,동신건설
A025980,아난티
A026040,제이에스티나
A026150,특수건설
A026180,현대정보기술
A026260,위너지스
A026890,디피씨
A026910,광진실업
A026940,부국철강
A026960,동서
A027040,서울전자통신
A027050,코리아나
A027360,아주IB투자
A027390,한화갤러리아타임월드
A027410,BGF
A027580,상보
A027710,팜스토리
A027740,마니커
A027830,대성창투
A027970,세하
A028040,미래SCI
A028050,삼성엔지니어링
A028080,휴맥스홀딩스
A028100,동아지질
A028150,GS홈쇼핑
A028260,삼성물산
A028300,에이치엘비
A028670,팬오션
A029460,케이씨
A029480,바른테크놀로지
A029530,신도리코
A029780,삼성카드
A029960,코엔텍
A030000,제일기획
A030190,NICE평가정보
A030200,KT
A030210,KTB투자증권
A030270,에스마크
A030350,드래곤플라이
A030520,한글과컴퓨터
A030530,원익홀딩스
A030610,교보증권
A030720,동원수산
A030790,비케이탑스
A030960,양지사
A031310,아이즈비전
A031330,에스에이엠티
A031390,녹십자셀
A031430,신세계인터내셔날
A031440,신세계푸드
A031510,오스템
A031820,콤텍시스템
A031860,엔에스엔
A031980,피에스케이홀딩스
A032080,아즈텍WB
A032190,다우데이타
A032280,삼일
A032300,한국파마
A032350,롯데관광개발
A032500,케이엠더블유
A032540,TJ미디어
A032560,황금에스티
A032580,피델릭스
A032620,유비케어
A032640,LG유플러스
A032680,소프트센
A032750,삼진
A032790,엠젠플러스
A032800,판타지오
A032820,우리기술
A032830,삼성생명
A032850,비트컴퓨터
A032860,글로스퍼랩스
A032940,원익
A032960,동일기연
A032980,바이온
A033050,제이엠아이
A033100,제룡전기
A033110,코너스톤네트웍스
A033130,디지틀조선
A033160,엠케이전자
A033170,시그네틱스
A033180,필룩스
A033200,모아텍
A033230,인성정보
A033240,자화전자
A033250,체시스
A033270,유나이티드제약
A033290,코웰패션
A033310,디케이디앤아이
A033320,제이씨현시스템
A033340,좋은사람들
A033430,디에스티
A033500,동성화인텍
A033530,세종공업
A033540,파라텍
A033560,블루콤
A033600,럭슬
A033640,네패스
A033660,아주캐피탈
A033780,KT&G
A033790,스카이문스테크놀로지
A033830,티비씨
A033920,무학
A034020,두산중공업
A034120,SBS
A034220,LG디스플레이
A034230,파라다이스
A034300,신세계건설
A034310,NICE
A034590,인천도시가스
A034730,SK
A034810,해성산업
A034830,한국토지신탁
A034940,조아제약
A034950,한국기업평가
A035000,지투알
A035080,인터파크
A035150,백산
A035200,프럼파스트
A035250,강원랜드
A035290,더블유에프엠
A035420,NAVER
A035460,기산텔레콤
A035480,제이테크놀로지
A035510,신세계 I&C
A035600,KG이니시스
A035610,솔본
A035620,바른손이앤에이
A035720,카카오
A035760,CJ ENM
A035810,이지홀딩스
A035890,서희건설
A035900,JYP Ent.
A036000,예림당
A036010,아비코전자
A036030,KTH
A036090,위지트
A036120,SCI평가정보
A036170,라이브파이낸셜
A036180,에이프런티어
A036190,금화피에스시
A036200,유니셈
A036260,이매진아시아
A036420,제이콘텐트리
A036460,한국가스공사
A036480,대성미생물
A036490,SK머티리얼즈
A036530,S&T홀딩스
A036540,SFA반도체
A036560,영풍정밀
A036570,엔씨소프트
A036580,팜스코
A036620,버추얼텍
A036630,세종텔레콤
A036640,HRS
A036670,KCI
A036690,코맥스
A036710,심텍홀딩스
A036800,나이스정보통신
A036810,에프에스티
A036830,솔브레인홀딩스
A036890,진성티이씨
A036930,주성엔지니어링
A037030,파워넷
A037070,파세코
A037230,한국팩키지
A037270,YG PLUS
A037330,인지디스플레
A037350,성도이엔지
A037370,EG
A037400,우리조명
A037440,희림
A037460,삼지전자
A037560,LG헬로비전
A037710,광주신세계
A037760,쎄니트
A037950,엘컴텍
A038010,제일테크노스
A038060,루멘스
A038070,서린바이오
A038110,에코플라스틱
A038160,팍스넷
A038290,마크로젠
A038340,UCI
A038390,레드캡투어
A038460,바이오스마트
A038500,삼표시멘트
A038530,골드퍼시픽
A038540,상상인
A038620,위즈코프
A038680,에스넷
A038870,에코바이오
A038880,아이에이
A038950,파인디지털
A039010,현대통신
A039020,이건홀딩스
A039030,이오테크닉스
A039130,하나투어
A039200,오스코텍
A039230,에이아이비트
A039240,경남스틸
A039290,인포뱅크
A039310,세중
A039340,한국경제TV
A039420,케이엘넷
A039440,에스티아이
A039490,키움증권
A039560,다산네트웍스
A039570,HDC아이콘트롤스
A039610,화성밸브
A039670,한류타임즈
A039740,한국정보공학
A039830,오로라
A039840,디오
A039860,나노엔텍
A039980,리노스
A040160,누리텔레콤
A040300,YTN
A040350,큐로컴
A040420,정상제이엘에스
A040610,SG&G
A040910,아이씨디
A041020,인프라웨어
A041140,넥슨지티
A041190,우리기술투자
A041440,에버다임
A041460,한국전자인증
A041510,에스엠
A041520,이라이콤
A041590,젬백스지오
A041650,상신브레이크
A041830,인바디
A041910,에스텍파마
A041920,메디아나
A041930,동아화성
A041960,코미팜
A042000,카페24
A042040,케이피엠테크
A042110,에스씨디
A042370,비츠로테크
A042420,네오위즈홀딩스
A042500,링네트
A042510,라온시큐어
A042520,한스바이오메드
A042600,새로닉스
A042660,대우조선해양
A042670,두산인프라코어
A042700,한미반도체
A042940,상지카일룸
A043090,큐브앤컴퍼니
A043100,솔고바이오
A043150,바텍
A043200,파루
A043220,에이치엘비파워
A043260,성호전자
A043290,케이맥
A043340,에쎈테크
A043360,디지아이
A043370,평화정공
A043580,에임하이
A043590,크로바하이텍
A043610,지니뮤직
A043650,국순당
A043710,서울리거
A043910,자연과환경
A044060,조광ILI
A044180,KD
A044340,위닉스
A044380,주연테크
A044450,KSS해운
A044480,경남바이오파마
A044490,태웅
A044780,에이치케이
A044820,코스맥스비티아이
A044960,이글벳
A045060,오공
A045100,한양이엔지
A045300,성우테크론
A045340,토탈소프트
A045390,대아티아이
A045510,정원엔시스
A045520,크린앤사이언스
A045660,에이텍
A045890,GV
A045970,코아시아
A046070,코다코
A046110,한일네트웍스
A046120,오르비텍
A046140,SBS콘텐츠허브
A046210,파나진
A046310,백금T&A
A046390,삼화네트웍스
A046440,KG모빌리언스
A046890,서울반도체
A046940,우원개발
A046970,우리로
A047040,대우건설
A047050,포스코인터내셔널
A047080,한빛소프트
A047310,파워로직스
A047400,유니온머티리얼
A047440,레이젠
A047560,이스트소프트
A047770,코데즈컴바인
A047810,한국항공우주
A047820,초록뱀
A047920,메디포럼제약
A048260,오스템임플란트
A048410,현대바이오
A048430,유라테크
A048470,대동스틸
A048530,인트론바이오
A048550,SM C&C
A048770,TPC
A048830,엔피케이
A048870,시너지이노베이션
A048910,대원미디어
A049070,인탑스
A049080,기가레인
A049120,파인디앤씨
A049180,셀루메드
A049430,코메론
A049470,SGA
A049480,오픈베이스
A049520,유아이엘
A049550,잉크테크
A049630,재영솔루텍
A049720,고려신용정보
A049770,동원F&B
A049800,우진플라임
A049830,승일
A049950,미래컴퍼니
A049960,쎌바이오텍
A050090,휘닉스소재
A050110,캠시스
A050120,라이브플렉스
A050320,에이앤티앤
A050540,한국코퍼레이션
A050760,에스폴리텍
A050860,아세아텍
A050890,쏠리드
A050960,수산아이앤티
A051160,지어소프트
A051360,토비스
A051370,인터플렉스
A051380,피씨디렉트
A051390,YW
A051490,나라엠앤디
A051500,CJ프레시웨이
A051600,한전KPS
A051630,진양화학
A051780,큐로홀딩스
A051900,LG생활건강
A051910,LG화학
A051980,센트럴바이오
A052020,에스티큐브
A052190,이에스에이
A052220,iMBC
A052260,SK바이오랜드
A052290,트레이스
A052300,W홀딩컴퍼니
A052330,코텍
A052400,코나아이
A052420,오성첨단소재
A052460,아이크래프트
A052600,한네트
A052670,제일바이오
A052690,한전기술
A052710,아모텍
A052770,아이톡시
A052790,액토즈소프트
A052860,아이앤씨
A052900,KMH하이텍
A053030,바이넥스
A053050,지에스이
A053060,세동
A053080,원방테크
A053110,소리바다
A053160,프리엠스
A053210,스카이라이프
A053260,금강철강
A053270,구영테크
A053280,예스24
A053290,NE능률
A053300,한국정보인증
A053350,이니텍
A053450,세코닉스
A053580,웹케시
A053590,한국테크놀로지
A053610,프로텍
A053620,태양
A053660,현진소재
A053690,한미글로벌
A053700,삼보모터스
A053800,안랩
A053950,경남제약
A053980,오상자이엘
A054040,한국컴퓨터
A054050,농우바이오
A054090,삼진엘앤디
A054180,중앙오션
A054210,이랜텍
A054220,비츠로시스
A054300,팬스타엔터프라이즈
A054340,피앤텔
A054410,케이피티유
A054450,텔레칩스
A054540,삼영엠텍
A054620,APS홀딩스
A054630,에이디칩스
A054670,대한뉴팜
A054780,키이스트
A054800,아이디스홀딩스
A054920,한컴위드
A054930,유신
A054940,엑사이엔씨
A054950,제이브이엠
A055490,테이팩스
A055550,신한지주
A056000,네스엠
A056080,유진로봇
A056090,유앤아이
A056190,에스에프에이
A056360,코위버
A056700,신화인터텍
A056730,포스링크
A057030,YBM넷
A057050,현대홈쇼핑
A057500,SKC 솔믹스
A057540,옴니시스템
A057680,티사이언티픽
A057880,필로시스헬스케어
A058110,멕아이씨에스
A058220,아리온
A058400,KNN
A058420,제이웨이
A058430,포스코강판
A058450,일야
A058470,리노공업
A058530,슈펙스비앤피
A058610,에스피지
A058630,엠게임
A058650,세아홀딩스
A058730,다스코
A058820,CMG제약
A058850,KTcs
A058860,KTis
A059090,미코
A059100,아이컴포넌트
A059120,아진엑스텍
A059210,메타바이오메드
A060150,인선이엔티
A060230,이그잭스
A060240,룽투코리아
A060250,NHN한국사이버결제
A060260,뉴보텍
A060280,큐렉소
A060300,레드로버
A060310,3S
A060370,KT서브마린
A060380,동양에스텍
A060480,국일신동
A060540,에스에이티
A060560,홈센타홀딩스
A060570,드림어스컴퍼니
A060590,씨티씨바이오
A060720,KH바텍
A060850,영림원소프트랩
A060900,대한그린파워
A060980,한라홀딩스
A061040,알에프텍
A061250,화일약품
A061970,엘비세미콘
A062860,티엘아이
A062970,피피아이
A063080,게임빌
A063160,종근당바이오
A063170,서울옥션
A063440,SM Life Design
A063570,한국전자금융
A063760,이엘피
A064090,에프앤리퍼블릭
A064240,홈캐스트
A064260,다날
A064290,인텍플러스
A064350,현대로템
A064480,브리지텍
A064510,에코마이스터
A064520,바른전자
A064550,바이오니아
A064760,티씨케이
A064800,젬백스링크
A064820,케이프
A064960,S&T모티브
A065060,지엔코
A065130,탑엔지니어링
A065150,MP그룹
A065160,에프티이앤이
A065170,넥스트BT
A065350,신성델타테크
A065370,위세아이텍
A065420,에스아이리소스
A065440,이루온
A065450,빅텍
A065500,오리엔트정공
A065510,휴비츠
A065530,전파기지국
A065560,녹원씨엔아이
A065570,삼영이엔씨
A065620,제낙스
A065650,메디프론
A065660,안트로젠
A065680,우주일렉트로
A065690,파커스
A065710,서호전기
A065770,CS
A065940,바이오빌
